,Tree Requests,Tree Goal,Tree Price,,,
Absegami High School,169,250,2.5,,,
Advanced Math and Science Academy,50,240,5,,,cumberland valley
Amherst Regional High School,26,230,5,,,
Andover High School,206,256,4.2,256,,
Arlington (MA) High School,68,225,5,,,
Arlington (NY) High School,81,250,2.5,250,78??,
Aurora University,11,265,5,,,
Barrington High School,349,200,0,,,
Benito Juarez Community Academy,1,200,5,,,
Bermudian Springs High School,166,130,4.6,130,,
Bethesda-Chevy Chase High School,151,240,5,,,
Beverly High School,6,200,5,,,
Carmel High School,168,1500,5,,,
Cherry Creek High School,58,405,2,405,,
Cranston High School East,13,300,5,,,
D'Evelyn Junior/Senior High School,5,200,5,,,
Deerfield High School,1,315,5,,,
Denver School of the Arts,1,150,5,,,
Downingtown East High School,35,200,5,,,
East High School,60,300,5,,,
Essex High School,30,270,5,,,lane tech
Evanston Township High School,169,280,4.3,280,,
Exeter-West Greenwich Regional High School,166,350,5,,,
Framingham High School,245,210,0,270,,
Franklin High School,14,240,5,,,elk grove
Glenbard South High School,11,180,5,,,
Glenbrook North High School,29,284,5,,,
Glencoe High School,53,165,5,,,
Glenelg High School,144,200,5,200,148,
Haddon Township High School,44,165,5,,,
Harwood Union High School,72,100,5,,,
Hawken School,164,200,5,,,Dr. Ricci
High School of American Studies,80,110,5,,,
Jones College Prep,12,115,5,,,
Kennedy High School,114,180,5,,,
Kent-Meridian High School,11,135,5,,,
Kenwood Community School,27,50,5,,,
King College Prep High School,15,100,5,,,
Knight High School,,225,5,,,
LaGuardia High School,64,250,5,,,
Lakes Community High School,229,220,4.1,240,,
Lawn Ave Middle School,159,100,1000000,,,
Lenox Memorial Middle and High School,13,100,5,,,
Leon M. Goldstein High School,297,100,5,116 donated,,
Livingston High School,46,160,3.4,160,,
Mansfield High School,65,230,4.1,230,,
Masconomet High School,419,330,0,350,,
Mashpee Middle High School,41,100,5,,,
Melrose High School,106,250,5,,,
Midwood High School,33,115,5,,,
Montgomery High School,1,170,3.5,170,,
Mt. Hope High School,54,160,5,,,
Mundelein High School,35,400,5,,,
Narragansett High School,93,100,5,,,
Nashua High School South,191,275,5,275,,
New Canaan High School,106,275,5,,,
Newark Charter Jr./Sr. High School,24,235,5,,,
Newtown High School,6,300,5,,,
Nipmuc Regional High School,155,150,5,,,
Northern High School,50,225,5,,,
Norwood High School,25,200,5,,,
Oakland Tech/East Bay,283,141,5,,,
Paramus High School,40,245,5,,,
Pasadena High School,,200,5,,,
Peak to Peak Charter School,2,170,0,,,
Portsmouth High School,254,200,5,200,,
Poudre High School,1,250,5,,,
Reading High School,184,290,5,,,
Richard Montgomery High School,1,175,5,,,
Robbinsville High School,48,140,4.6,140,,avon old farms
Roslyn High School,17,100,5,,,
Scotch Plains-Fanwood High School,19,240,5,,,
Shepton High School,6,265,5,265,,
South High School,33,200,5,,,
St. Helen's High School,89,115,0,115,,
St. Mary's Academy,53,150,5,,,
Summit High School,128,187,4,187,,
Thomas Jefferson High School,40,113,5,,,
Troy High School,3,270,5,,,
University High School,6,58,5,,,
Ursuline Academy,35,140,2,140,,
Watertown High School,50,150,5,,,
West Orange High School,112,243,4.7,,,
Whitney High School,58,110,2.3,110,,
